  id            u            v       length      demanda           CS           CA   oneway     status
 133   2477805956   1269539400    51.555272    34.315189     0.412442     0.154666    False  undefined
 134   2477805956   1237124340   104.360427    69.462300     0.834883     0.313081    False  undefined
 135   2477805956   2477805887   288.434368   191.981915     2.307475     0.865303    False  undefined
 136    267884948    267884952   140.106655     0.000000     1.120853     0.420320    False   passagem
 137    267884948   3317160159   131.546727     0.000000     1.052374     0.394640     True   passagem
 138    267884948   2477827535   412.416898     0.000000     3.299335     1.237251    False   passagem
 139    267884952   5116456988    18.504131     0.000000     0.148033     0.055512    False   passagem
 140    267884952    267884948   140.106655     0.000000     1.120853     0.420320    False   passagem
 141    267884952   2477827532    13.799968     0.000000     0.110400     0.041400     True   passagem
 142   2591412636   2591412648   106.679550    71.005908     0.853436     0.320039    False  undefined
 143   2591412636   2477831993    83.801695    55.778408     0.670414     0.251405    False  undefined
 144   2591412636   5116482156   135.106000    89.926553     1.080848     0.405318    False  undefined
 145   2591412644   2591412646    75.228109    50.071829     0.601825     0.225684    False  undefined
 146   2591412644   5116482160    57.383502    38.194459     0.459068     0.172151    False  undefined
 147   2591412644   2591412676   131.500172    87.526514     1.052001     0.394501    False  undefined
 148   2591412646   2591412644    75.228109    50.071829     0.601825     0.225684    False  undefined
 149   2591412646   2591412672    73.903011    49.189844     0.591224     0.221709    False  undefined
 150   2591412646   5116482158     8.642775     5.752631     0.069142     0.025928    False  undefined
 151   2591412648   2591412636   106.679550    71.005908     0.853436     0.320039    False  undefined
 152   2591412648   2477831995    86.522540    57.589403     0.692180     0.259568    False  undefined
 153   2591412648   5116482156   151.195756   100.635895     1.209566     0.453587    False  undefined
 154    267884969   2477827248   112.012465     0.000000     0.896100     0.336037    False   passagem
 155    267884969       -39028    83.645551     0.000000     0.669164     0.250937     True   passagem
 156    267884969       -39026  3544.902800     0.000000    28.359222    10.634708    False   passagem
 157   2591412672   2591412646    73.903011    49.189844     0.591224     0.221709    False  undefined
 158   2591412676   2477831998    20.105926    13.382504     0.160847     0.060318    False  undefined
 159   2591412676   2477832001   153.786609   102.360367     1.230293     0.461360    False  undefined
 160   2591412676   2591412644   131.500172    87.526514     1.052001     0.394501    False  undefined
 161   5116504524   2477831961   157.000815   104.499743     1.256007     0.471002    False  undefined
 162   5116504527   2477827199   114.002197    75.879862     0.912018     0.342007     True  undefined
 163   5116504527   2477827203    15.135578    10.074241     0.121085     0.045407    False  undefined
 164   5116504529   2477827170    68.441797    45.554860     0.547534     0.205325    False  undefined
 165   5116504529   2477827174   195.134833   129.881745     1.561079     0.585404     True  undefined
 166   5116504530   5116504531    53.978787    35.928281     0.431830     0.161936    False  undefined
 167   5116504530   2477827157   108.016488    71.895774     0.864132     0.324049    False  undefined
 168   5116504530   2653916614    44.345883    29.516619     0.354767     0.133038    False  undefined
 169   5116504531   5116504530    53.978787    35.928281     0.431830     0.161936    False  undefined
 170   5116504533   2477805883    54.096205    36.006434     0.432770     0.162289    False  undefined
 171   5116504533   2477805887    61.224963    40.751336     0.489800     0.183675    False  undefined
 172   5116504533   5116504534   205.283862   136.636938     1.642271     0.615852    False  undefined
 173   5116504534   5116504533   205.283862   136.636938     1.642271     0.615852    False  undefined
 174   2591412698   3185224646    39.650633    26.391461     0.317205     0.118952    False  undefined
 175   2591412698   2477832014    86.011449    57.249221     0.688092     0.258034    False  undefined
 176   2591412698   2477832015    93.577582    62.285238     0.748621     0.280733    False  undefined
 177   2591412700   5116482154    45.039534    29.978314     0.360316     0.135119     True  undefined
 178   1269539295   2477805832    77.063833    51.293687     0.616511     0.231192    False  undefined
 179   1269539295   2477827462    44.857670    29.857265     0.358861     0.134573    False  undefined
 180   1269539295   2477827495    71.301566    47.458322     0.570413     0.213905    False  undefined
 181   1269539295   2654715440    42.915541    28.564584     0.343324     0.128747    False  undefined
 182   2591412706   2477827265    19.381249     0.000000     0.155050     0.058144     True   passagem
 183   2591412706   2591412700    17.390792     0.000000     0.139126     0.052172     True   passagem
 184   2591412708   2477827248   138.606511     0.000000     1.108852     0.415820    False   passagem
 185   2591412708   2477827329    60.737757     0.000000     0.485902     0.182213    False   passagem
 186   2591412708       -39032     0.284806     0.000000     0.002278     0.000854     True   passagem
 187   1269539343   2477805832    72.832927    48.477596     0.582663     0.218499    False  undefined
 188   1269539343   2477827402    45.321304    30.165860     0.362570     0.135964    False  undefined
 189   1269539343   2477827423   126.408800    84.137698     1.011270     0.379226    False  undefined
 190   1269539400   2477805956    51.555272    34.315189     0.412442     0.154666    False  undefined
 191   1269539400   1269539418    35.614076    23.704729     0.284913     0.106842    False  undefined
 192   1269539400   4240251686   115.569819    76.923272     0.924559     0.346709    False  undefined
 193   1269539418   2477805935    86.927995    57.859274     0.695424     0.260784    False  undefined
 194   1269539418   1269539400    35.614076    23.704729     0.284913     0.106842    False  undefined
