  id   u     v       length       demanda         CS           CA       oneway  status
 131   46   280    50.248025    33.445085     0.401984     0.150744    False  undefined
 132   46   281    51.105605    34.015890     0.408845     0.153317    False  undefined
 133   47   13    51.555272    34.315189     0.412442     0.154666    False  undefined
 134   47   10   104.360427    69.462300     0.834883     0.313081    False  undefined
 135   47   33   288.434368   191.981915     2.307475     0.865303    False  undefined
 136    7    8   140.106655     0.000000     1.120853     0.420320    False   passagem
 137    7   249   131.546727     0.000000     1.052374     0.394640     True   passagem
 138    7   170   412.416898     0.000000     3.299335     1.237251    False   passagem
 139    8   255    18.504131     0.000000     0.148033     0.055512    False   passagem
 140    8    7   140.106655     0.000000     1.120853     0.420320    False   passagem
 141    8   168    13.799968     0.000000     0.110400     0.041400     True   passagem
 142   211   214   106.679550    71.005908     0.853436     0.320039    False  undefined
 143   211   186    83.801695    55.778408     0.670414     0.251405    False  undefined
 144   211   266   135.106000    89.926553     1.080848     0.405318    False  undefined
 145   212   213    75.228109    50.071829     0.601825     0.225684    False  undefined
 146   212   270    57.383502    38.194459     0.459068     0.172151    False  undefined
 147   212   216   131.500172    87.526514     1.052001     0.394501    False  undefined
 148   213   212    75.228109    50.071829     0.601825     0.225684    False  undefined
 149   213   215    73.903011    49.189844     0.591224     0.221709    False  undefined
 150   213   268     8.642775     5.752631     0.069142     0.025928    False  undefined
 151   214   211   106.679550    71.005908     0.853436     0.320039    False  undefined
 152   214   188    86.522540    57.589403     0.692180     0.259568    False  undefined
 153   214   266   151.195756   100.635895     1.209566     0.453587    False  undefined
 154    9   94   112.012465     0.000000     0.896100     0.336037    False   passagem
 155    9       5    83.645551     0.000000     0.669164     0.250937     True   passagem
 156    9       6  3544.902800     0.000000    28.359222    10.634708    False   passagem
 157   215   213    73.903011    49.189844     0.591224     0.221709    False  undefined
 158   216   191    20.105926    13.382504     0.160847     0.060318    False  undefined
 159   216   194   153.786609   102.360367     1.230293     0.461360    False  undefined
 160   216   212   131.500172    87.526514     1.052001     0.394501    False  undefined
 161   274   171   157.000815   104.499743     1.256007     0.471002    False  undefined
 162   275   72   114.002157    75.879836     0.912017     0.342006     True  undefined
 163   275   74    11.572781     0.000000     0.092582     0.034718    False   passagem
 164   276   277    53.978787    35.928281     0.431830     0.161936    False  undefined
 165   276   53   108.016488    71.895774     0.864132     0.324049    False  undefined
 166   276   221    44.345883    29.516619     0.354767     0.133038    False  undefined
 167   277   276    53.978787    35.928281     0.431830     0.161936    False  undefined
 168   278   32    54.096205    36.006434     0.432770     0.162289    False  undefined
 169   278   33    61.224963    40.751336     0.489800     0.183675    False  undefined
 170   278   279   205.283862   136.636938     1.642271     0.615852    False  undefined
 171   279   278   205.283862   136.636938     1.642271     0.615852    False  undefined
 172   217   248    39.650633    26.391461     0.317205     0.118952    False  undefined
 173   217   205    86.011449    57.249221     0.688092     0.258034    False  undefined
 174   217   206    93.577582    62.285238     0.748621     0.280733    False  undefined
 175   218   264    47.074479    31.332773     0.376596     0.141223     True  undefined
 176   11   20    77.063833    51.293687     0.616511     0.231192    False  undefined
 177   11   152    44.857670    29.857265     0.358861     0.134573    False  undefined
 178   11   160    71.301566    47.458322     0.570413     0.213905    False  undefined
 179   11   223    42.915541    28.564584     0.343324     0.128747    False  undefined
 180   219   99    19.381249     0.000000     0.155050     0.058144     True   passagem
 181   219   218    13.862452     0.000000     0.110900     0.041587     True   passagem
 182   220   94   138.606511     0.000000     1.108852     0.415820    False   passagem
 183   220   109    60.737757     0.000000     0.485902     0.182213    False   passagem
 184   220       3     0.284806     0.000000     0.002278     0.000854     True   passagem
 185   12   20    72.832927    48.477596     0.582663     0.218499    False  undefined
 186   12   135    45.321304    30.165860     0.362570     0.135964    False  undefined
 187   12   141   126.408800    84.137698     1.011270     0.379226    False  undefined
 188   13   47    51.555272    34.315189     0.412442     0.154666    False  undefined
 189   13   14    35.614076    23.704729     0.284913     0.106842    False  undefined
 190   13   252   115.569819    76.923272     0.924559     0.346709    False  undefined
 191   14   43    86.927995    57.859274     0.695424     0.260784    False  undefined
 192   14   13    35.614076    23.704729     0.284913     0.106842    False  undefined
 193   14   280   157.394586   104.761837     1.259157     0.472184    False  undefined
 194   262   263    11.552905     0.000000     0.092423     0.034659    False   passagem
 195   262   265    67.128615    44.680806     0.537029     0.201386     True  undefined
 196   263   262    11.552905     0.000000     0.092423     0.034659    False   passagem
 197   263   91    81.466052    54.223804     0.651728     0.244398     True  undefined
 198   264   263    66.486056    44.253119     0.531888     0.199458     True  undefined
 199   264   265    11.950180     0.000000     0.095601     0.035851    False   passagem
 200   265   264    11.950180     0.000000     0.095601     0.035851    False   passagem
 201   265   97    41.326910    27.507192     0.330615     0.123981     True  undefined
 202   266   267    55.640263    37.034159     0.445122     0.166921    False  undefined
 203   266   214   151.195756   100.635895     1.209566     0.453587    False  undefined
 204   266   211   135.106000    89.926553     1.080848     0.405318    False  undefined
 205   267   266    55.640263    37.034159     0.445122     0.166921    False  undefined
 206   268   213     8.642775     5.752631     0.069142     0.025928    False  undefined
 207   268   269   100.148017    66.658520     0.801184     0.300444    False  undefined
 208   268   185    62.017765    41.279025     0.496142     0.186053    False  undefined
 209   269   268   100.148017    66.658520     0.801184     0.300444    False  undefined
 210   270   212    57.383502    38.194459     0.459068     0.172151    False  undefined
 211   270   271    39.990924    26.617959     0.319927     0.119973    False  undefined
 212   270   183     5.689793     3.787126     0.045518     0.017069    False  undefined
 213   271   270    39.990924    26.617959     0.319927     0.119973    False  undefined
 214   272   273    16.953618     0.000000     0.135629     0.050861    False   passagem
 215   272   181    53.406897    35.547631     0.427255     0.160221     True  undefined
 216   273   272    16.953618     0.000000     0.135629     0.050861    False   passagem
 217   273   195   151.815826   101.048614     1.214527     0.455447     True  undefined
 218   280   46    50.248025    33.445085     0.401984     0.150744    False  undefined
 219   280   14   157.394586   104.761837     1.259157     0.472184    False  undefined
 220   280   281    21.737312    14.468355     0.173898     0.065212    False  undefined
 221   281   43   137.850007    91.752965     1.102800     0.413550    False  undefined
 222   281   46    51.105605    34.015890     0.408845     0.153317    False  undefined
 223   281   280    21.737312    14.468355     0.173898     0.065212    False  undefined
 224   251   252   157.706371   104.969360     1.261651     0.473119    False  undefined
 225   252   251   157.706371   104.969360     1.261651     0.473119    False  undefined
 226   252   13   115.569819    76.923272     0.924559     0.346709    False  undefined
 227   252   45   660.728722   439.781037     5.285830     1.982186    False  undefined
 228   231   243    41.089937    27.349462     0.328719     0.123270    False  undefined
 229   231   232    73.318125    48.800544     0.586545     0.219954    False  undefined
 230   231   135    44.060372    29.326583     0.352483     0.132181    False  undefined
 231   232   244    43.198438    28.752881     0.345588     0.129595    False  undefined
 232   232   231    73.318125    48.800544     0.586545     0.219954    False  undefined
 233   232   233    76.386455    50.842825     0.611092     0.229159    False  undefined
 234   232   146    41.283707    27.478435     0.330270     0.123851    False  undefined
 235   233   21    38.015921    25.303397     0.304127     0.114048    False  undefined
 236   233   232    76.386455    50.842825     0.611092     0.229159    False  undefined
 237   233   234    71.403690    47.526296     0.571230     0.214211    False  undefined
 238   233   152    42.252454    28.123233     0.338020     0.126757    False  undefined
 239   234   233    71.403690    47.526296     0.571230     0.214211    False  undefined
 240   234   158    15.484956    10.306786     0.123880     0.046455    False  undefined
 241   234   159    42.813038    28.496358     0.342504     0.128439    False  undefined
 242   235   236    60.426608    40.219950     0.483413     0.181280    False  undefined
 243   235   238    56.467991    37.585095     0.451744     0.169404    False  undefined
 244   235   158    48.750615    32.448410     0.390005     0.146252    False  undefined
