  id            u            v           CA      demanda           CS       length   oneway     status
 197          103           91     0.370809    82.270157     0.988824   123.603000    False    servico
 198          103          173     0.476955   105.820416     1.271880   158.985000    False    servico
 199           85          179     0.322749    71.607245     0.860664   107.583000     True    servico
 200           85          180     0.592362   131.425382     1.579632   197.454000     True    servico
 201          165           94     0.359691    79.803443     0.959176   119.897000     True    servico
 202          165           93     0.503379   111.683021     1.342344   167.793000    False    servico
 203          165          181     0.756198   167.775130     2.016528   252.066000    False    servico
 204          178          182     0.952851     0.000000     2.540936   317.617000     True   passagem
 205          183          184     0.848469   188.246989     2.262584   282.823000     True    servico
 206          183          185     0.257451    57.119795     0.686536    85.817000     True    servico
 207          186           20     0.411105    91.210496     1.096280   137.035000     True    servico
 208          186           85     0.495102   109.846630     1.320272   165.034000     True    servico
 209          187           48     0.224007    49.699686     0.597352    74.669000     True    servico
 210           46          188     0.025902     0.000000     0.069072     8.634000     True   passagem
 211           46           23     0.086526     0.000000     0.230736    28.842000     True   passagem
 212          189          190     0.119085    26.420992     0.317560    39.695000     True    servico
 213          189          191     0.189168    41.970074     0.504448    63.056000     True    servico
 214           19          192     0.325320    72.177664     0.867520   108.440000     True    servico
 215           19          186     0.250248    55.521690     0.667328    83.416000     True    servico
 216          193          194     0.480282   106.558566     1.280752   160.094000     True    servico
 217          193          195     0.192939    42.806733     0.514504    64.313000     True    servico
 218          196          197     0.414807    92.031846     1.106152   138.269000    False    servico
 219          196          162     0.073704    16.352461     0.196544    24.568000     True    servico
 220          113          162     0.770667   170.985318     2.055112   256.889000     True    servico
 221          113          184     0.496584   110.175437     1.324224   165.528000     True    servico
 222          180           43     0.361698    80.248730     0.964528   120.566000     True    servico
 223          198          166     0.209181    46.410291     0.557816    69.727000     True    servico
 224          198          199     0.619743   137.500314     1.652648   206.581000     True    servico
 225          121          200     0.184455    40.924416     0.491880    61.485000     True    servico
 226          121          201     0.254499     0.000000     0.678664    84.833000     True   passagem
 227          109          157     0.276882    61.430886     0.738352    92.294000     True    servico
 228          109          202     0.687810   152.602112     1.834160   229.270000     True    servico
 229          203          178     0.098553     0.000000     0.262808    32.851000     True   passagem
 230          203           83     0.104301    23.140915     0.278136    34.767000     True    servico
 231          114          204     0.245745    54.522624     0.655320    81.915000     True    servico
 232          114          205     0.486807   108.006246     1.298152   162.269000     True    servico
 233           69           59     0.418350    92.817920     1.115600   139.450000     True    servico
 234           69           81     0.144627    32.087910     0.385672    48.209000     True    servico
 235           98          206     0.136875    30.368000     0.365000    45.625000     True    servico
 236           98          207     0.353454    78.419661     0.942544   117.818000     True    servico
 237           24           34     0.713676     0.000000     1.903136   237.892000     True   passagem
 238           24          106     0.027015     0.000000     0.072040     9.005000     True   passagem
 239          208          189     0.160533    35.616922     0.428088    53.511000     True    servico
 240          208          209     0.279939    62.109133     0.746504    93.313000    False    servico
 241          201          120     0.428553    95.081626     1.142808   142.851000     True    servico
 242          210           57     0.119886    26.598707     0.319696    39.962000     True    servico
 243          210           56     0.348870    77.402624     0.930320   116.290000    False    servico
 244          211          212     0.050439    11.190733     0.134504    16.813000     True    servico
 245          213          210     0.164838    36.572058     0.439568    54.946000     True    servico
 246          213          214     0.250218    55.515034     0.667248    83.406000     True    servico
 247          215          207     0.128727    28.560230     0.343272    42.909000    False    servico
 248          215          216     0.159903    35.477146     0.426408    53.301000     True    servico
 249           35           42     0.034884     0.000000     0.093024    11.628000     True   passagem
 250           35          217     0.941889     0.000000     2.511704   313.963000     True   passagem
